result_id,strategy_name,start_date,end_date,total_return,annual_return,max_drawdown,max_drawdown_ratio,win_rate,profit_loss_ratio,total_trades,winning_trades,losing_trades,sharpe_ratio,volatility,final_equity,max_equity,min_equity,backtest_time,data_source,stock_codes
10,简单均线反转策略,2020-01-01,2026-03-09,1.0438326350600013,0.12263693120465469,45064.96000000002,0.20658516081934053,0.8571428571428571,4.3505755272265425,21,18,3,0.613426755378638,0.17178111941228688,204383.26350600013,218142.28970400005,99991.00012000001,2026-03-09 10:49:40,akshare真实数据,"600976,601088,600519"
9,海龟交易策略,2020-01-01,2026-03-09,0.8555335081300003,0.10521372433713716,39502.43283299994,0.1781711946979009,0.43636363636363634,2.7390869544439633,55,24,31,0.5097691701945408,0.17629010370903628,185553.35081300003,221710.54585999995,88736.715938,2026-03-09 10:49:38,akshare真实数据,"600976,601088,600519"
8,RSI超买超卖策略,2020-01-01,2026-03-09,2.8189463595499995,0.24215515522130016,52418.31753300008,0.2688001436853916,0.6266666666666667,1.1066941028674424,150,94,56,1.0098611284907875,0.2175044408338798,381894.63595499995,408655.0809330001,80287.87749599999,2026-03-09 10:49:37,akshare真实数据,"600976,601088,600519"
7,布林带策略,2020-01-01,2026-03-09,2.0549574827400026,0.19808690145371166,30249.269504999975,0.14985382186894994,0.5903614457831325,1.0626677051315443,332,196,136,0.9931804382938327,0.17496880101576104,305495.74827400025,328623.18109900027,95794.30934200001,2026-03-09 10:49:35,akshare真实数据,"600976,601088,600519"
6,双均线策略,2020-01-01,2026-03-09,0.9290933404799999,0.11218920618066042,69842.91063600002,0.2710175328566118,0.39285714285714285,2.6477580977403474,84,33,51,0.5221698650116114,0.18920586891321212,192909.334048,257706.244684,88714.31304399998,2026-03-09 10:49:33,akshare真实数据,"600976,601088,600519"
5,简单均线反转策略,2020-01-01,2026-03-09,1.0438326350600013,0.12263693120465469,45064.96000000002,0.20658516081934053,0.8571428571428571,4.3505755272265425,21,18,3,0.613426755378638,0.17178111941228688,204383.26350600013,218142.28970400005,99991.00012000001,2026-03-09 10:49:26,akshare真实数据,"600976,601088,600519"
4,海龟交易策略,2020-01-01,2026-03-09,0.8555335081300003,0.10521372433713716,39502.43283299994,0.1781711946979009,0.43636363636363634,2.7390869544439633,55,24,31,0.5097691701945408,0.17629010370903628,185553.35081300003,221710.54585999995,88736.715938,2026-03-09 10:49:24,akshare真实数据,"600976,601088,600519"
3,RSI超买超卖策略,2020-01-01,2026-03-09,2.8189463595499995,0.24215515522130016,52418.31753300008,0.2688001436853916,0.6266666666666667,1.1066941028674424,150,94,56,1.0098611284907875,0.2175044408338798,381894.63595499995,408655.0809330001,80287.87749599999,2026-03-09 10:49:22,akshare真实数据,"600976,601088,600519"
2,布林带策略,2020-01-01,2026-03-09,2.0549574827400026,0.19808690145371166,30249.269504999975,0.14985382186894994,0.5903614457831325,1.0626677051315443,332,196,136,0.9931804382938327,0.17496880101576104,305495.74827400025,328623.18109900027,95794.30934200001,2026-03-09 10:49:19,akshare真实数据,"600976,601088,600519"
1,双均线策略,2020-01-01,2026-03-09,0.9290933404799999,0.11218920618066042,69842.91063600002,0.2710175328566118,0.39285714285714285,2.6477580977403474,84,33,51,0.5221698650116114,0.18920586891321212,192909.334048,257706.244684,88714.31304399998,2026-03-09 10:49:18,akshare真实数据,"600976,601088,600519"
